RECOVERY-CHANCE,VIRUS-SPREAD-CHANCE,INFECTED-AT-END (%)
0,0,2
0,1,52
0,2,56
0,3,67.33
0,4,98.7
0,5,100
0,6,100
0,7,100
0,8,100
0,9,100
0,10,100
1,0,0.67
1,1,12
1,2,69.33
1,3,92
1,4,95.33
1,5,88
1,6,96.67
1,7,97.33
1,8,96
1,9,96.67
1,10,96
2,0,0.67
2,1,4.67
2,2,56.67
2,3,82.67
2,4,86
2,5,94
2,6,90.67
2,7,93.33
2,8,92.67
2,9,96
2,10,95.33
3,0,0
3,1,12
3,2,12.67
3,3,58.67
3,4,87.33
3,5,84
3,6,87.33
3,7,92.67
3,8,84
3,9,90.67
3,10,95.33
4,0,0
4,1,0
4,2,20
4,3,52.67
4,4,73.33
4,5,81.33
4,6,89.33
4,7,84.67
4,8,86.67
4,9,89.33
4,10,87.93
5,0,0
5,1,0
5,2,26
5,3,38.67
5,4,66
5,5,81.33
5,6,74.67
5,7,85.33
5,8,85.33
5,9,90.67
5,10,87.33
6,0,0
6,1,0
6,2,40.67
6,3,14.67
6,4,34.67
6,5,52.67
6,6,67.33
6,7,86.67
6,8,84.67
6,9,83.33
6,10,82.67
7,0,0
7,1,0
7,2,4
7,3,16
7,4,34.67
7,5,69.33
7,6,67.33
7,7,84
7,8,78
7,9,82.67
7,10,83.33
8,0,0
8,1,0
8,2,0
8,3,19.33
8,4,43.33
8,5,65.33
8,6,76
8,7,70
8,8,78.67
8,9,76
8,10,85.33
9,0,0
9,1,0
9,2,10
9,3,36.67
9,4,40.67
9,5,41.33
9,6,64
9,7,36.67
9,8,66.67
9,9,70.67
9,10,68.67
10,0,0
10,1,0
10,2,0
10,3,14.67
10,4,30.67
10,5,14.67
10,6,41.33
10,7,24.67
10,8,68.67
10,9,73.33
10,10,81.33
