,Days since release,The Power of the Dog,West Side Story,Belfast,King Richard,Dune,Licorice Pizza,CODA,"Tick, Tick... Boom!",Don't Look Up,Being the Ricardos
0,-59,564,2792,520,1639,23253,82511,434,1551,52,788
1,-58,569,2779,450,1355,21485,41958,457,1620,73,663
2,-57,559,2902,463,1260,15734,21455,444,2201,89,777
3,-56,565,2838,442,1068,16076,11974,457,1704,53,675
4,-55,567,2470,434,1142,15328,14646,519,1907,63,737
5,-54,614,2820,550,1157,14354,13475,497,1864,72,708
6,-53,710,2410,492,1084,15137,10545,319,1478,43,596
7,-52,570,2274,537,1167,15844,7336,342,1710,65,672
8,-51,696,2530,543,1131,16177,5476,308,1481,65,640
9,-50,1158,2810,477,1027,16287,4350,347,1400,58,692
10,-49,940,2432,458,1051,17039,5146,378,1380,47,784
11,-48,943,2292,556,1261,19302,5935,320,1342,53,1655
12,-47,1230,2279,574,1243,21365,5938,348,1329,74,902
13,-46,1047,2176,663,1370,21642,5312,315,1302,59,918
14,-45,935,2166,641,1223,20314,4295,303,1484,75,1241
15,-44,919,2552,2888,1127,19630,4123,295,3331,85,12941
16,-43,1116,3002,2038,1162,16945,3582,273,1381,59,11954
17,-42,918,2894,1359,1308,16081,3236,323,1216,67,5240
18,-41,1002,2471,966,1319,16420,3850,246,1239,61,2869
19,-40,5015,2232,759,1262,17054,4435,275,1084,70,2424
20,-39,3478,2292,737,1261,18153,4259,436,1163,69,2095
21,-38,2732,2308,693,1218,18230,3915,401,1275,82,1937
22,-37,1766,2486,683,1242,16361,3818,357,17986,89,1569
23,-36,1422,2462,659,29412,18681,3576,387,14539,77,1434
24,-35,1198,2603,646,54193,18339,3978,417,8460,94,1358
25,-34,1189,2376,656,41108,66610,4873,409,5626,134,1263
26,-33,1292,3733,690,21816,88141,5522,405,3587,149,1158
27,-32,1044,3901,738,18731,58850,4959,363,2579,72,1269
28,-31,1090,3033,616,14524,52741,5468,359,2216,78,1250
29,-30,1081,2931,580,11493,43668,5277,387,1954,46,1190
30,-29,940,2895,570,5525,38065,4288,427,1778,67,1126
31,-28,875,2820,506,3355,34461,4338,415,1773,87,1183
32,-27,950,2997,554,3069,30459,4576,355,1696,82,972
33,-26,967,2806,609,2952,29533,4755,346,1459,70,1381
34,-25,980,4208,625,3479,34272,4696,342,1477,75,1307
35,-24,1008,3756,634,2749,36254,4437,361,1418,69,1181
36,-23,1395,3532,561,2702,38654,4180,321,1343,62,1283
37,-22,1411,3676,554,2273,50331,4166,332,1280,81,5063
38,-21,1090,4099,586,2143,66988,3647,329,1268,140,7341
39,-20,1117,3830,579,1948,76678,4316,298,1497,105,4675
40,-19,1124,4515,610,2155,88233,10455,483,1853,386,2672
41,-18,990,4947,667,2174,96078,9763,564,1893,455,3685
42,-17,965,4213,573,1965,93290,5845,490,1768,245,3673
43,-16,1542,4784,597,1918,73469,8392,530,1760,183,2553
44,-15,1136,5953,921,1955,64677,8558,403,1796,208,3027
45,-14,1084,7631,762,2348,61091,12115,480,2407,210,3121
46,-13,1320,7237,680,2351,59826,8537,467,2115,190,2535
47,-12,3541,6706,704,2150,62265,6859,575,1939,260,2259
48,-11,4123,5442,828,2253,65921,10383,501,1742,170,2142
49,-10,2499,5974,732,2059,56795,17762,416,1804,133,2123
50,-9,20759,6650,733,1846,60639,11626,452,2116,153,2005
51,-8,14526,8110,661,2224,51808,9722,447,2006,140,1920
52,-7,5894,8830,922,1736,48083,7812,497,1883,142,1862
53,-6,6178,8840,767,1482,46476,7769,486,1943,167,2124
54,-5,7816,7870,674,1488,52911,8903,452,2482,126,2267
55,-4,7836,9613,810,1532,57504,8496,656,2211,110,2303
56,-3,6454,11218,738,1406,56432,10483,1795,2515,127,2166
57,-2,12857,22750,1273,1633,46256,13197,1875,2749,145,2105
58,-1,12453,12803,1776,1796,41637,13509,1319,3088,131,2635
59,0,8429,17933,1257,1913,49015,20736,1093,4691,145,6525
60,1,8711,28458,15197,4382,55887,23420,839,10617,260,6911
61,2,11960,24492,14327,4027,53724,22364,846,13727,315,5211
62,3,10832,32384,11536,3768,55838,21975,640,11493,437,8097
63,4,9576,34222,6099,3940,58866,24126,644,11362,250,5517
64,5,5686,25762,4877,3327,50836,23832,610,11270,280,9546
65,6,5042,24423,3905,3282,53348,25025,570,12239,247,7960
66,7,8820,32353,3139,2692,57058,31477,461,15408,228,6756
67,8,16803,31944,2864,2572,55646,30553,473,15569,472,8003
68,9,14173,35551,2544,4000,61926,27391,542,53324,223,8858
69,10,10577,40830,2574,2996,124562,27826,481,90876,173,7526
70,11,9358,65908,3535,2346,186741,26177,552,89832,112,11630
71,12,7528,80846,2678,2064,190749,22620,461,61921,103,10928
72,13,6396,78866,2172,2087,180703,18404,447,55264,100,8548
73,14,5973,68059,1893,1888,230806,21255,541,50276,103,7672
74,15,6231,49752,1919,1926,526439,22732,505,41421,122,6234
75,16,4647,39182,1989,2008,632037,29888,533,45363,99,6732
76,17,3756,31832,10234,2229,630919,38463,514,60279,98,8107
77,18,3165,26777,4089,2401,493927,45307,401,55579,115,7998
78,19,3147,29405,2863,3268,363894,44792,501,37181,902,34006
79,20,3104,32226,2329,2505,316498,30436,556,25743,1729,38776
80,21,3243,28667,2023,2649,243529,27718,589,21538,2092,31976
81,22,3056,24563,1856,2227,211257,26181,541,17843,2193,25198
82,23,2723,22863,2026,2264,256730,28478,593,19200,1728,23080
83,24,2457,21659,1901,2420,271102,26157,517,24284,1667,25683
84,25,2269,22763,1838,2482,210554,24894,530,24045,1587,24781
85,26,2218,24908,1910,2432,161294,26478,627,17032,1239,20441
86,27,2747,33059,1717,1837,139915,29159,625,14558,1184,18482
87,28,4654,42077,1554,1827,124061,30987,694,14082,1188,17886
88,29,4173,30720,1626,1880,115857,41219,647,14255,1003,15828
89,30,3455,24990,1789,2007,147613,56182,655,14697,961,16353
90,31,2498,25493,1923,1928,159942,57506,588,18527,850,17767
91,32,2870,19556,2165,2177,116378,46187,592,17833,752,12644
92,33,2519,19151,2138,2183,84648,42747,1149,16368,698,9642
93,34,2852,20324,1631,1821,79521,41888,1170,15913,716,8232
94,35,3380,18160,1448,2912,78608,36955,933,14028,739,7831
95,36,3391,15771,1586,2846,77853,35504,1013,14372,601,7568
96,37,4830,14638,1814,2547,100142,39382,1178,16518,494,10303
97,38,4586,15045,1965,2536,114099,34374,1477,21877,6191,11018
98,39,2859,14160,2037,2322,81580,29841,1747,26005,25961,20341
99,40,2226,15979,4258,1964,61207,28112,1563,23178,43807,11008
100,41,2251,17120,4691,2086,59744,24614,1593,22991,60994,9989
101,42,2410,32270,2931,2038,54765,26567,2246,23350,64906,8914
102,43,2518,17839,2211,2921,52337,34620,3051,24139,54095,7025
103,44,2469,15014,2175,3084,69870,41767,3055,24457,48036,8705
104,45,2237,13499,2467,2417,84308,32482,3969,24780,37848,9030
105,46,2170,12307,2040,2595,62166,27331,3987,29632,33212,6628
106,47,2623,14434,2150,3180,41229,28785,15514,32254,35415,5383
107,48,2470,24560,4658,4609,38998,28945,22235,30886,42977,4414
108,49,2734,15835,7242,7118,37852,27913,22926,30482,42697,4158
109,50,2695,12232,5418,8445,39364,31966,16459,32705,30499,4147
110,51,2768,10410,4397,7532,46716,31220,12698,31889,24372,5239
111,52,3268,9587,3593,21422,49238,24261,10267,33585,25110,5248
112,53,2884,13898,3676,7308,38323,20345,9732,34867,23270,3708
113,54,2782,18177,3950,9969,34718,17962,9638,28915,24087,3418
114,55,2971,15177,3698,7297,30674,16669,10719,24832,34018,3626
115,56,3084,11853,4086,6163,35732,18292,11115,23489,33814,4187
116,57,3195,11523,7109,4698,38791,21259,8880,24101,21984,4922
117,58,2849,13726,6916,5590,51817,21281,7785,26680,18533,5427
118,59,2825,11684,5902,5908,55416,16136,6066,32706,16389,5529
119,60,2876,12585,6808,7673,42196,16990,6487,33753,17145,3562
